danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.654,0.95,1,-3.163,1,0.137,0.00223,0,0.406,0.351,140.009,4LoMziEaxdkrSMXtavIJqL,228027,4,audio_features,spotify:track:4LoMziEaxdkrSMXtavIJqL,https://api.spotify.com/v1/audio-analysis/4LoMziEaxdkrSMXtavIJqL,https://api.spotify.com/v1/tracks/4LoMziEaxdkrSMXtavIJqL
0.592,0.701,10,-4.014,0,0.0858,0.0451,0,0.327,0.282,129.501,5J5PXmMdQ2nh1lZOal8KmK,280615,4,audio_features,spotify:track:5J5PXmMdQ2nh1lZOal8KmK,https://api.spotify.com/v1/audio-analysis/5J5PXmMdQ2nh1lZOal8KmK,https://api.spotify.com/v1/tracks/5J5PXmMdQ2nh1lZOal8KmK
0.757,0.659,8,-5.733,1,0.0528,0.273,0,0.0637,0.353,114.041,4Mnr3BZXk5OtoGEKjGJ6nT,162105,4,audio_features,spotify:track:4Mnr3BZXk5OtoGEKjGJ6nT,https://api.spotify.com/v1/audio-analysis/4Mnr3BZXk5OtoGEKjGJ6nT,https://api.spotify.com/v1/tracks/4Mnr3BZXk5OtoGEKjGJ6nT
0.591,0.855,11,-8.339,0,0.339,0.00832,5.87e-05,0.771,0.78,136.734,47wZfF4OdME3xkIPhhpSSF,158467,4,audio_features,spotify:track:47wZfF4OdME3xkIPhhpSSF,https://api.spotify.com/v1/audio-analysis/47wZfF4OdME3xkIPhhpSSF,https://api.spotify.com/v1/tracks/47wZfF4OdME3xkIPhhpSSF
0.485,0.72,6,-5.991,1,0.127,0.0123,0,0.0546,0.0471,207.982,1j6kDJttn6wbVyMaM42Nxm,126960,4,audio_features,spotify:track:1j6kDJttn6wbVyMaM42Nxm,https://api.spotify.com/v1/audio-analysis/1j6kDJttn6wbVyMaM42Nxm,https://api.spotify.com/v1/tracks/1j6kDJttn6wbVyMaM42Nxm
0.365,0.751,2,-5.429,1,0.304,0.000707,0,0.318,0.604,79.119,0z5ZPs57J2KERwM1tBM2GF,248587,4,audio_features,spotify:track:0z5ZPs57J2KERwM1tBM2GF,https://api.spotify.com/v1/audio-analysis/0z5ZPs57J2KERwM1tBM2GF,https://api.spotify.com/v1/tracks/0z5ZPs57J2KERwM1tBM2GF
0.851,0.92,8,-2.989,1,0.201,0.0319,0.000525,0.128,0.545,94.516,5QD28FqaM3jTfsqWwvRZwv,226213,4,audio_features,spotify:track:5QD28FqaM3jTfsqWwvRZwv,https://api.spotify.com/v1/audio-analysis/5QD28FqaM3jTfsqWwvRZwv,https://api.spotify.com/v1/tracks/5QD28FqaM3jTfsqWwvRZwv
0.712,0.879,7,-5.019,1,0.0456,0.0065,0,0.282,0.945,139.994,6GCKeTonPlHFcnNahyZc0M,196771,4,audio_features,spotify:track:6GCKeTonPlHFcnNahyZc0M,https://api.spotify.com/v1/audio-analysis/6GCKeTonPlHFcnNahyZc0M,https://api.spotify.com/v1/tracks/6GCKeTonPlHFcnNahyZc0M
0.629,0.655,1,-8.212,1,0.355,0.0111,0,0.818,0.546,106.319,21iL1HD3h5AXGdSZABFd8t,183396,4,audio_features,spotify:track:21iL1HD3h5AXGdSZABFd8t,https://api.spotify.com/v1/audio-analysis/21iL1HD3h5AXGdSZABFd8t,https://api.spotify.com/v1/tracks/21iL1HD3h5AXGdSZABFd8t
0.696,0.8,2,-5.68,1,0.0324,0.000819,0,0.0954,0.0635,110.013,2hiuiI3ac0I5kJWtkeGHEL,235533,4,audio_features,spotify:track:2hiuiI3ac0I5kJWtkeGHEL,https://api.spotify.com/v1/audio-analysis/2hiuiI3ac0I5kJWtkeGHEL,https://api.spotify.com/v1/tracks/2hiuiI3ac0I5kJWtkeGHEL
0.925,0.628,6,-7.587,1,0.131,0.0604,0,0.358,0.81,120.021,4pUPQdgJowFjxb895tr437,222533,4,audio_features,spotify:track:4pUPQdgJowFjxb895tr437,https://api.spotify.com/v1/audio-analysis/4pUPQdgJowFjxb895tr437,https://api.spotify.com/v1/tracks/4pUPQdgJowFjxb895tr437
0.727,0.62,8,-6.443,1,0.306,0.398,0,0.0926,0.555,105.003,658I1uDnmLSiltFCf98AWE,169979,4,audio_features,spotify:track:658I1uDnmLSiltFCf98AWE,https://api.spotify.com/v1/audio-analysis/658I1uDnmLSiltFCf98AWE,https://api.spotify.com/v1/tracks/658I1uDnmLSiltFCf98AWE
