danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,6Uy6K3KdmUdAfelUp0SeXn,220573,4,audio_features,spotify:track:6Uy6K3KdmUdAfelUp0SeXn,https://api.spotify.com/v1/audio-analysis/6Uy6K3KdmUdAfelUp0SeXn,https://api.spotify.com/v1/tracks/6Uy6K3KdmUdAfelUp0SeXn
0.792,0.634,4,-6.566,0,0.0348,0.245,7.11e-06,0.136,0.322,99.989,6Sjl4KtCBxaJza3BTTXJE6,207612,4,audio_features,spotify:track:6Sjl4KtCBxaJza3BTTXJE6,https://api.spotify.com/v1/audio-analysis/6Sjl4KtCBxaJza3BTTXJE6,https://api.spotify.com/v1/tracks/6Sjl4KtCBxaJza3BTTXJE6
0.652,0.757,1,-6.819,1,0.153,0.286,0,0.0886,0.962,159.911,6NPVjNh8Jhru9xOmyQigds,233305,4,audio_features,spotify:track:6NPVjNh8Jhru9xOmyQigds,https://api.spotify.com/v1/audio-analysis/6NPVjNh8Jhru9xOmyQigds,https://api.spotify.com/v1/tracks/6NPVjNh8Jhru9xOmyQigds
0.789,0.693,6,-9.263,1,0.262,0.483,7.79e-05,0.241,0.665,88.01,3tmpJN9fGVkrhlNkZVgH90,185455,4,audio_features,spotify:track:3tmpJN9fGVkrhlNkZVgH90,https://api.spotify.com/v1/audio-analysis/3tmpJN9fGVkrhlNkZVgH90,https://api.spotify.com/v1/tracks/3tmpJN9fGVkrhlNkZVgH90
0.638,0.831,5,-3.944,1,0.182,0.0281,3.06e-06,0.277,0.685,175.038,5mvKuE9Lf9ARVXVXA32kK9,223053,4,audio_features,spotify:track:5mvKuE9Lf9ARVXVXA32kK9,https://api.spotify.com/v1/audio-analysis/5mvKuE9Lf9ARVXVXA32kK9,https://api.spotify.com/v1/tracks/5mvKuE9Lf9ARVXVXA32kK9
0.674,0.432,1,-8.848,1,0.199,0.485,0,0.212,0.613,139.878,3VV8J6Zy11zsU4yBGroexd,114000,4,audio_features,spotify:track:3VV8J6Zy11zsU4yBGroexd,https://api.spotify.com/v1/audio-analysis/3VV8J6Zy11zsU4yBGroexd,https://api.spotify.com/v1/tracks/3VV8J6Zy11zsU4yBGroexd
0.725,0.735,10,-7.023,1,0.08,0.551,1.61e-06,0.0937,0.635,82.449,5QwUMTjMIbnjKL1ucRwLZ7,128168,4,audio_features,spotify:track:5QwUMTjMIbnjKL1ucRwLZ7,https://api.spotify.com/v1/audio-analysis/5QwUMTjMIbnjKL1ucRwLZ7,https://api.spotify.com/v1/tracks/5QwUMTjMIbnjKL1ucRwLZ7
0.425,0.661,2,-10.302,0,0.0403,0.0774,0.00427,0.165,0.421,97.991,3x4275pBSEXJiuK9q9ieim,220408,4,audio_features,spotify:track:3x4275pBSEXJiuK9q9ieim,https://api.spotify.com/v1/audio-analysis/3x4275pBSEXJiuK9q9ieim,https://api.spotify.com/v1/tracks/3x4275pBSEXJiuK9q9ieim
0.612,0.735,8,-5.074,0,0.0282,0.00202,0.00118,0.328,0.783,126.326,1OutzYv6YiN93lrT3pJsWR,226053,4,audio_features,spotify:track:1OutzYv6YiN93lrT3pJsWR,https://api.spotify.com/v1/audio-analysis/1OutzYv6YiN93lrT3pJsWR,https://api.spotify.com/v1/tracks/1OutzYv6YiN93lrT3pJsWR
0.247,0.242,5,-11.775,1,0.0331,0.894,2.42e-05,0.124,0.198,83.698,05FbcdpBymUdowR2MBgNYG,241579,4,audio_features,spotify:track:05FbcdpBymUdowR2MBgNYG,https://api.spotify.com/v1/audio-analysis/05FbcdpBymUdowR2MBgNYG,https://api.spotify.com/v1/tracks/05FbcdpBymUdowR2MBgNYG
0.757,0.786,11,-4.593,0,0.126,0.246,0,0.0595,0.838,92.01,4wOQwTPrj5mAnyXzKRozwK,153913,4,audio_features,spotify:track:4wOQwTPrj5mAnyXzKRozwK,https://api.spotify.com/v1/audio-analysis/4wOQwTPrj5mAnyXzKRozwK,https://api.spotify.com/v1/tracks/4wOQwTPrj5mAnyXzKRozwK
0.489,0.867,4,-3.121,0,0.071,0.025,0,0.586,0.409,162.131,3jZomvOBa5qfTo5HkqI1p5,157293,4,audio_features,spotify:track:3jZomvOBa5qfTo5HkqI1p5,https://api.spotify.com/v1/audio-analysis/3jZomvOBa5qfTo5HkqI1p5,https://api.spotify.com/v1/tracks/3jZomvOBa5qfTo5HkqI1p5
0.662,0.567,9,-8.899,0,0.0598,0.283,0,0.0855,0.233,160.019,6YLfI73bXtyZQx1KxI08PG,187020,4,audio_features,spotify:track:6YLfI73bXtyZQx1KxI08PG,https://api.spotify.com/v1/audio-analysis/6YLfI73bXtyZQx1KxI08PG,https://api.spotify.com/v1/tracks/6YLfI73bXtyZQx1KxI08PG
0.637,0.631,11,-8.421,0,0.222,0.00209,0,0.162,0.426,169.91,1cWzORixIcf59UTSCkZ9jW,146887,4,audio_features,spotify:track:1cWzORixIcf59UTSCkZ9jW,https://api.spotify.com/v1/audio-analysis/1cWzORixIcf59UTSCkZ9jW,https://api.spotify.com/v1/tracks/1cWzORixIcf59UTSCkZ9jW
0.852,0.757,6,-4.165,0,0.144,0.0387,0,0.118,0.351,137.97,10XGXIxAjlEhAPdZKcYq66,118261,4,audio_features,spotify:track:10XGXIxAjlEhAPdZKcYq66,https://api.spotify.com/v1/audio-analysis/10XGXIxAjlEhAPdZKcYq66,https://api.spotify.com/v1/tracks/10XGXIxAjlEhAPdZKcYq66
0.696,0.676,9,-5.697,1,0.117,0.196,0,0.215,0.611,170.137,0YJ9M4rHhaNWvaK5jFdYUw,140400,4,audio_features,spotify:track:0YJ9M4rHhaNWvaK5jFdYUw,https://api.spotify.com/v1/audio-analysis/0YJ9M4rHhaNWvaK5jFdYUw,https://api.spotify.com/v1/tracks/0YJ9M4rHhaNWvaK5jFdYUw
0.658,0.742,5,-8.22,0,0.0349,0.000154,0.591,0.0986,0.442,124.982,4shH87gzTzjH0M7RGyYgC0,311368,4,audio_features,spotify:track:4shH87gzTzjH0M7RGyYgC0,https://api.spotify.com/v1/audio-analysis/4shH87gzTzjH0M7RGyYgC0,https://api.spotify.com/v1/tracks/4shH87gzTzjH0M7RGyYgC0
0.571,0.644,4,-5.117,0,0.0389,0.429,0.00163,0.101,0.311,79.987,37NRiScJgnX9Tvj4gu3a9y,199500,4,audio_features,spotify:track:37NRiScJgnX9Tvj4gu3a9y,https://api.spotify.com/v1/audio-analysis/37NRiScJgnX9Tvj4gu3a9y,https://api.spotify.com/v1/tracks/37NRiScJgnX9Tvj4gu3a9y
0.751,0.626,8,-7.917,0,0.176,0.241,0,0.148,0.443,119.956,5OHp8cKv1lHp8fl04nZCVP,252421,4,audio_features,spotify:track:5OHp8cKv1lHp8fl04nZCVP,https://api.spotify.com/v1/audio-analysis/5OHp8cKv1lHp8fl04nZCVP,https://api.spotify.com/v1/tracks/5OHp8cKv1lHp8fl04nZCVP
0.557,0.803,1,-3.599,0,0.213,0.0124,1.61e-06,0.737,0.657,92.134,0l0CvurVUrr2w3Jj1hOVFc,213507,4,audio_features,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,https://api.spotify.com/v1/audio-analysis/0l0CvurVUrr2w3Jj1hOVFc,https://api.spotify.com/v1/tracks/0l0CvurVUrr2w3Jj1hOVFc
0.627,0.747,5,-4.485,0,0.043,0.0231,0,0.108,0.738,95.045,59h3OsHU7JyeL4xiMF0Yti,146581,4,audio_features,spotify:track:59h3OsHU7JyeL4xiMF0Yti,https://api.spotify.com/v1/audio-analysis/59h3OsHU7JyeL4xiMF0Yti,https://api.spotify.com/v1/tracks/59h3OsHU7JyeL4xiMF0Yti
0.747,0.937,0,-5.746,1,0.0453,0.0208,0,0.29,0.739,103.976,3bC1ahPIYt1btJzSSEyyrF,224653,4,audio_features,spotify:track:3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/audio-analysis/3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF
0.822,0.749,11,-10.306,0,0.253,0.113,0,0.0769,0.579,100.123,1CIPuxwEFsyfj5hsaCDLTb,160248,4,audio_features,spotify:track:1CIPuxwEFsyfj5hsaCDLTb,https://api.spotify.com/v1/audio-analysis/1CIPuxwEFsyfj5hsaCDLTb,https://api.spotify.com/v1/tracks/1CIPuxwEFsyfj5hsaCDLTb
0.599,0.877,11,-3.45,0,0.226,0.064,0,0.234,0.79,187.305,0qJwsov9fMLYGoPZOompnI,207040,4,audio_features,spotify:track:0qJwsov9fMLYGoPZOompnI,https://api.spotify.com/v1/audio-analysis/0qJwsov9fMLYGoPZOompnI,https://api.spotify.com/v1/tracks/0qJwsov9fMLYGoPZOompnI
0.479,0.607,4,-4.558,0,0.0411,0.0109,0.00263,0.462,0.153,111.138,64z3gz3wJ3TQOSkoDWjZfz,183085,5,audio_features,spotify:track:64z3gz3wJ3TQOSkoDWjZfz,https://api.spotify.com/v1/audio-analysis/64z3gz3wJ3TQOSkoDWjZfz,https://api.spotify.com/v1/tracks/64z3gz3wJ3TQOSkoDWjZfz
0.651,0.61,11,-6.777,0,0.0426,0.426,0,0.599,0.41,133.988,14IK2PnrG4Nl5gFHhQnNRW,164776,4,audio_features,spotify:track:14IK2PnrG4Nl5gFHhQnNRW,https://api.spotify.com/v1/audio-analysis/14IK2PnrG4Nl5gFHhQnNRW,https://api.spotify.com/v1/tracks/14IK2PnrG4Nl5gFHhQnNRW
0.729,0.771,4,-2.451,1,0.0725,0.00761,0,0.087,0.873,125.011,3SPDQfj2UfWq6A2NllZnzn,198053,4,audio_features,spotify:track:3SPDQfj2UfWq6A2NllZnzn,https://api.spotify.com/v1/audio-analysis/3SPDQfj2UfWq6A2NllZnzn,https://api.spotify.com/v1/tracks/3SPDQfj2UfWq6A2NllZnzn
0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,0afhq8XCExXpqazXczTSve,170827,4,audio_features,spotify:track:0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve
0.686,0.704,9,-7.795,1,0.0852,0.00978,0,0.0735,0.585,85.934,7dRTZhQl7bvaADXWXz6Vd6,212093,4,audio_features,spotify:track:7dRTZhQl7bvaADXWXz6Vd6,https://api.spotify.com/v1/audio-analysis/7dRTZhQl7bvaADXWXz6Vd6,https://api.spotify.com/v1/tracks/7dRTZhQl7bvaADXWXz6Vd6
0.843,0.28,1,-9.723,1,0.336,0.156,1.38e-05,0.134,0.407,160.005,7Hij0MzGIK43J8sQsrzcdB,156060,4,audio_features,spotify:track:7Hij0MzGIK43J8sQsrzcdB,https://api.spotify.com/v1/audio-analysis/7Hij0MzGIK43J8sQsrzcdB,https://api.spotify.com/v1/tracks/7Hij0MzGIK43J8sQsrzcdB
