danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.615,0.65,3,-4.944,1,0.0347,0.0718,0,0.101,0.548,152.086,2BeispT0rpKZX9RhI1H8vL,207733,4,audio_features,spotify:track:2BeispT0rpKZX9RhI1H8vL,https://api.spotify.com/v1/audio-analysis/2BeispT0rpKZX9RhI1H8vL,https://api.spotify.com/v1/tracks/2BeispT0rpKZX9RhI1H8vL
0.458,0.976,0,-3.791,1,0.0459,0.00182,0,0.193,0.76,154.007,46ZfPS5VpSQVU5gb82hg3K,218867,4,audio_features,spotify:track:46ZfPS5VpSQVU5gb82hg3K,https://api.spotify.com/v1/audio-analysis/46ZfPS5VpSQVU5gb82hg3K,https://api.spotify.com/v1/tracks/46ZfPS5VpSQVU5gb82hg3K
0.69,0.626,7,-5.831,1,0.0275,0.129,0,0.169,0.638,101.958,0CexLaYHQrvcTZZb8Ra54e,181200,4,audio_features,spotify:track:0CexLaYHQrvcTZZb8Ra54e,https://api.spotify.com/v1/audio-analysis/0CexLaYHQrvcTZZb8Ra54e,https://api.spotify.com/v1/tracks/0CexLaYHQrvcTZZb8Ra54e
0.509,0.831,6,-4.807,0,0.0472,0.0531,0,0.055,0.709,82.018,0swP2oU1YIwdicBy3nfgvw,190493,4,audio_features,spotify:track:0swP2oU1YIwdicBy3nfgvw,https://api.spotify.com/v1/audio-analysis/0swP2oU1YIwdicBy3nfgvw,https://api.spotify.com/v1/tracks/0swP2oU1YIwdicBy3nfgvw
0.495,0.527,0,-4.742,1,0.0351,0.000159,0.0163,0.1,0.574,208.067,0Nu9WA8kEbBWEsay2s8Q0U,220520,4,audio_features,spotify:track:0Nu9WA8kEbBWEsay2s8Q0U,https://api.spotify.com/v1/audio-analysis/0Nu9WA8kEbBWEsay2s8Q0U,https://api.spotify.com/v1/tracks/0Nu9WA8kEbBWEsay2s8Q0U
0.47,0.79,2,-5.352,1,0.039,0.0216,0,0.0863,0.495,158.061,4wFUdSCer8bdQsrp1M90sa,276880,4,audio_features,spotify:track:4wFUdSCer8bdQsrp1M90sa,https://api.spotify.com/v1/audio-analysis/4wFUdSCer8bdQsrp1M90sa,https://api.spotify.com/v1/tracks/4wFUdSCer8bdQsrp1M90sa
0.612,0.841,9,-3.795,0,0.0353,0.000907,0,0.37,0.499,104.986,6zLdXcmvIxnAXpz9sXFnIE,227373,4,audio_features,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,https://api.spotify.com/v1/audio-analysis/6zLdXcmvIxnAXpz9sXFnIE,https://api.spotify.com/v1/tracks/6zLdXcmvIxnAXpz9sXFnIE
0.581,0.856,3,-4.0,1,0.0783,0.183,0,0.0871,0.918,169.902,7B6m8tHAYZsOKOKMU5SR2n,209427,4,audio_features,spotify:track:7B6m8tHAYZsOKOKMU5SR2n,https://api.spotify.com/v1/audio-analysis/7B6m8tHAYZsOKOKMU5SR2n,https://api.spotify.com/v1/tracks/7B6m8tHAYZsOKOKMU5SR2n
0.458,0.894,9,-4.903,1,0.0398,0.0209,0,0.221,0.717,160.125,6Axy0fL3FBtwx2rwl4soq9,211240,4,audio_features,spotify:track:6Axy0fL3FBtwx2rwl4soq9,https://api.spotify.com/v1/audio-analysis/6Axy0fL3FBtwx2rwl4soq9,https://api.spotify.com/v1/tracks/6Axy0fL3FBtwx2rwl4soq9
0.592,0.917,2,-3.057,1,0.0541,0.0164,1.23e-06,0.144,0.572,112.03,1kneRrMfS08JwuqKwnX4fl,208867,4,audio_features,spotify:track:1kneRrMfS08JwuqKwnX4fl,https://api.spotify.com/v1/audio-analysis/1kneRrMfS08JwuqKwnX4fl,https://api.spotify.com/v1/tracks/1kneRrMfS08JwuqKwnX4fl
